v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30_1,v30_2,v30_3,v31_1,v31_2,v31_3,v32,v33,v34,v35_1,v35_2,v35_3,v35_4,v35_5,v35_6,v35_7,v35_8,v35_9,v35_10,v36_1,v36_2,v36_3,v36_4,v36_5,v36_6,v36_7,v36_8,v36_9,v36_10,v37,v38_1,v38_2,v38_3,v38_4,v38_5,v38_6,v38_7,v39,v40,v41,v42,v43,v44,v45,v46,v47,wei,wei2
8,303,57,6,1,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,3,99,99,99,3,7,6,97,99,99,99,99,99,99,99,99,99,4,8,7,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,9,6,0,1,2,1,2,.7422,.45021852
19,316,56,6,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,3,99,99,99,99,1,8,8,3,4,8,9,99,99,99,99,99,99,3,4,8,9,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,3,5,100,3,2,3,2,.8186,.38662478
15,880,57,6,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,99,1,99,99,2,5,5,3,4,99,99,99,99,99,99,99,99,3,4,8,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,5,7,6,100,2,2,3,2,.7039,.08320098
2,116,47,7,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,3,99,99,99,2,7,6,97,99,99,99,99,99,99,99,99,99,4,5,8,7,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,23,99,999,99,99,1,2,.9686,1.5434641
6,830,56,6,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,1,3,99,99,99,99,2,5,5,97,99,99,99,99,99,99,99,99,99,4,5,8,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,5,7,4,20,2,1,3,1,1.0891,1.94153857
2,111,95,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,99,99,99,2,6,10,2,3,5,99,99,99,99,99,99,99,4,7,8,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,5,21,99,999,99,99,3,2,1.8032,2.8733992
1,244,73,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,3,99,99,99,3,9,8,97,99,99,99,99,99,99,99,99,99,5,1,9,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,2,7,10,4,100,3,1,3,1,.6582,1.71105672
2,104,75,4,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,3,99,99,99,99,1,8,3,6,99,99,99,99,99,99,99,99,99,4,3,9,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,18,6,50,4,1,3,2,.8512,1.3563872
9,369,41,8,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,3,99,99,99,1,8,10,3,7,9,99,99,99,99,99,99,99,3,4,9,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,6,23,99,999,99,99,3,1,.5313,.31006668
5,704,998,5,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,3,99,99,99,99,3,5,6,3,4,5,99,99,99,99,99,99,99,4,5,9,99,99,99,99,99,99,99,2,1,2,3,99,99,99,99,4,7,3,5,0,2,2,98,1,1.224,1.4872824
19,316,65,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,3,99,99,99,1,6,7,8,6,1,99,99,99,99,99,99,99,5,4,10,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,98,99,999,99,99,3,2,.976,.4609648
5,709,60,6,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,3,99,99,99,1,5,7,9,4,3,99,99,99,99,99,99,99,3,4,12,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,7,6,30,2,2,3,1,.984,1.1956584
21,891,83,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,99,99,10,99,99,2,8,7,1,2,3,5,6,99,99,99,99,99,5,1,99,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,5,8,30,3,1,4,1,1.3259,.20962479
5,700,60,6,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,3,99,99,99,1,7,6,1,2,3,6,9,99,99,99,99,99,1,2,99,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,3,2,60,1,1,3,2,.9669,1.17488019
2,111,83,3,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,3,99,99,99,1,7,8,5,99,99,99,99,99,99,99,99,99,1,2,99,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,2,7,7,6,100,2,2,3,2,1.4132,2.2519342
16,970,69,5,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,3,99,99,99,2,7,7,2,5,99,99,99,99,99,99,99,99,5,2,99,99,99,99,99,99,99,99,2,1,2,4,99,99,99,99,4,5,19,6,50,3,1,3,2,1.0392,.36257688
1,242,62,5,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,3,99,99,99,99,3,7,5,5,4,6,99,99,99,99,99,99,99,1,3,99,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,13,3,100,2,1,3,1,.4936,1.28316256
4,432,66,5,1,1,1,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,1,3,99,99,99,99,2,8,7,2,4,6,7,99,99,99,99,99,99,2,3,99,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,4,19,6,90,3,1,4,2,1.1779,2.12186906
6,802,52,6,1,1,3,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,1,2,1,2,3,99,99,99,2,7,6,5,3,7,99,99,99,99,99,99,99,4,3,99,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,1,8,23,99,999,99,99,3,1,1.0891,1.94153857
21,893,72,4,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,3,99,99,99,2,7,6,1,6,99,99,99,99,99,99,99,99,4,3,99,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,15,4,90,3,1,3,1,.6836,.10807716
1,251,51,7,1,1,1,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,1,2,1,2,1,2,3,99,99,99,2,8,7,5,9,99,99,99,99,99,99,99,99,4,3,99,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,5,15,5,40,3,2,3,1,1.274,3.3118904
2,106,70,5,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,3,99,99,99,1,6,7,2,5,99,99,99,99,99,99,99,99,8,3,99,99,99,99,99,99,99,99,3,1,2,3,99,99,99,99,4,7,13,5,60,3,1,1,2,1.5069,2.40124515
4,435,73,4,1,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,2,97,2,1,1,1,2,2,1,2,3,99,99,99,2,7,8,1,99,99,99,99,99,99,99,99,99,8,3,99,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,20,99,999,99,99,3,2,1.2057,2.17194798
6,806,53,6,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,2,3,99,99,99,2,8,8,1,2,3,4,5,6,7,8,9,99,9,3,99,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,5,6,2,50,3,1,3,1,1.0891,1.94153857
10,509,52,6,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,3,99,99,99,99,2,6,3,97,99,99,99,99,99,99,99,99,99,9,3,99,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,4,23,99,999,99,99,3,2,.9584,1.296236
8,305,60,6,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,3,99,99,99,99,3,9,9,97,99,99,99,99,99,99,99,99,99,1,4,99,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,3,2,100,4,1,4,1,.7194,.43638804
